SNID,Filename,Date,Photometric Calibration,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze2030/n90ze2030_mos.fits,2009-09-26T09:33:57,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze5020/n90ze5020_mos.fits,2009-09-26T11:24:06,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze2020/n90ze2020_mos.fits,2009-09-26T09:32:15,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze5030/n90ze5030_mos.fits,2009-09-26T11:25:48,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze1030/n90ze1030_mos.fits,2010-11-23T23:42:23,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze3020/n90ze3020_mos.fits,2009-09-26T10:16:05,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze4030/n90ze4030_mos.fits,2009-09-26T11:20:23,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005ke,pantheon_data_folder/2005ke/mastDownload/HST/idkv07030/idkv07030_drz.fits,2025-04-07,WFC3 IR F160W MJD#58203.1955,1.94721295e-20,-21.1,15369.176,25.935213457316884
2002fb,pantheon_data_folder/2002fb/mastDownload/HST/if7q12010/if7q12010_drz.fits,2025-04-04,WFC3 IR F110W MJD#60498.3915,1.55507885e-20,-21.1,11534.459,26.802632814892434
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_11329_01_NIC_NIC2_F160W/HST_11329_01_NIC_NIC2_F160W_drz.fits,2009-12-03T04:19:51,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_11329_05_NIC_NIC2_F160W/HST_11329_05_NIC_NIC2_F160W_drz.fits,2009-12-03T07:53:24,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_11329_02_NIC_NIC2_F160W/HST_11329_02_NIC_NIC2_F160W_drz.fits,2009-12-03T07:51:51,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_11329_03_NIC_NIC2_F160W/HST_11329_03_NIC_NIC2_F160W_drz.fits,2009-12-03T04:20:39,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_56_NIC_NIC2_F160W/HST_10802_56_NIC_NIC2_F160W_drz.fits,2009-12-02T20:52:18,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_f4_NIC_NIC2_F160W/HST_10802_f4_NIC_NIC2_F160W_drz.fits,2009-12-02T21:01:54,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_f5_NIC_NIC2_F160W/HST_10802_f5_NIC_NIC2_F160W_drz.fits,2009-12-02T21:02:06,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
2002fk,pantheon_data_folder/2002fk/mastDownload/HLA/HST_10802_58_NIC_NIC2_F160W/HST_10802_58_NIC_NIC2_F160W_drz.fits,2009-12-02T20:53:25,"NICMOS,2,F160W,DN",1.7409589e-19,-21.1,16030.4,23.465306907308978
