SNID,Filename,Date,Photometric Calibration,Filter,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/icat26040/icat26040_drz.fits,2025-04-11,WFC3 IR F105W MJD#56773.2904,F105W,3.06563394999999e-20,-21.1,10551.047,26.25922146947758
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi5g020/iboi5g020_drz.fits,2025-04-11,WFC3 IR F160W MJD#56237.9249,F160W,1.9409313e-20,-21.1,15369.176,25.938721671172125
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe3kbvq/iboe3kbvq_drz.fits,2025-04-03,WFC3 IR F125W MJD#56128.3158,F125W,2.2564156e-20,-21.1,12486.06,26.226325178267363
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi5hnmq/iboi5hnmq_drz.fits,2025-03-31,WFC3 IR F125W MJD#56238.0069,F125W,2.2569164e-20,-21.1,12486.06,26.226084231360023
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboeadqdq/iboeadqdq_drz.fits,2025-04-07,WFC3 IR F125W MJD#56018.7822,F125W,2.2559078e-20,-21.1,12486.06,26.226569547652364
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe1dpeq/iboe1dpeq_drz.fits,2025-04-03,WFC3 IR F125W MJD#56018.6947,F125W,2.2559073e-20,-21.1,12486.06,26.226569788295247
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm7b020/ibtm7b020_drz.fits,2025-04-07,WFC3 IR F160W MJD#56346.6312,F160W,1.9412787e-20,-21.1,15369.176,25.938527356717977
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtmanhxq/ibtmanhxq_drz.fits,2025-03-31,WFC3 IR F125W MJD#56514.2606,F125W,2.2581779e-20,-21.1,12486.06,26.225477530296022
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm9lfgq/ibtm9lfgq_drz.fits,2025-04-22,WFC3 IR F125W MJD#56458.2547,F125W,2.2579221e-20,-21.1,12486.06,26.225600526386227
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe2o020/iboe2o020_drz.fits,2025-03-31,WFC3 IR F125W MJD#56072.4337,F125W,2.25615765e-20,-21.1,12486.06,26.226449305074308
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe3lckq/iboe3lckq_drz.fits,2025-03-31,WFC3 IR F125W MJD#56128.3834,F125W,2.2564159e-20,-21.1,12486.06,26.226325033914147
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm7bt0q/ibtm7bt0q_drz.fits,2025-04-22,WFC3 IR F125W MJD#56346.6241,F125W,2.2574124e-20,-21.1,12486.06,26.225845646541078
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboebl020/iboebl020_drz.fits,2025-04-07,WFC3 IR F160W MJD#56074.6465,F160W,1.9404093e-20,-21.1,15369.176,25.93901371166057
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibohcc020/ibohcc020_drz.fits,2025-04-07,WFC3 IR F105W MJD#56116.3231,F105W,3.05903459999999e-20,-21.099999999999998,10551.047,26.261561238866676
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ib3725050/ib3725050_drz.fits,2025-03-31,WFC3 IR F140W MJD#55099.1406,F140W,1.4715165e-20,-21.1,13922.907,26.453937548478148
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm9l020/ibtm9l020_drz.fits,2025-04-03,WFC3 IR F160W MJD#56458.2393,F160W,1.9416355e-20,-21.1,15369.176,25.938327820669016
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtmani8q/ibtmani8q_drz.fits,2025-04-03,WFC3 IR F125W MJD#56514.2832,F125W,2.258178e-20,-21.1,12486.06,26.22547748221584
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm9k020/ibtm9k020_drz.fits,2025-04-07,WFC3 IR F160W MJD#56457.5736,F160W,1.9416333e-20,-21.1,15369.176,25.938329050879837
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12444_4j_wfc3_ir_f125w/hst_12444_4j_wfc3_ir_f125w_drz.fits,2017-08-16,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_8g_wfc3_ir_f125w/hst_12445_8g_wfc3_ir_f125w_drz.fits,2017-09-10,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_9l_wfc3_ir_f125w/hst_12445_9l_wfc3_ir_f125w_drz.fits,2017-08-14,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_ad_wfc3_ir_f125w/hst_12443_ad_wfc3_ir_f125w_drz.fits,2017-09-11,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12445_7b_wfc3_ir_f125w/hst_12445_7b_wfc3_ir_f125w_drz.fits,2017-09-11,WFC3 IR F125W,F125W,2.2483417e-20,-21.1,12486.06,26.23021712375807
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HLA/hst_12443_3k_wfc3_ir_f160w/hst_12443_3k_wfc3_ir_f160w_drz.fits,2017-09-10,WFC3 IR F160W,F160W,1.9275602e-20,-21.1,15369.176,25.946227204106755
