SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f160w_coarse-all_drz,529,50.6977951,-37.3278526,72.86,0.778,0.492,-3.2771,0.0093,20.45692,0.1757037,3.9139402,-1.3945146,1.8687636,2024-11-19,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2006dd,ib3n03030_drz,530,50.6737863,-37.2080291,34.47,68.912,39.45,-17.0858,0.0001,6828576.0,461.6491,0.00034896634,-0.00040313337,0.00050416816,2025-04-03,HST,WFC3,F110W,1.21854611956772e-05,3.34761888074651e-05,3.34761888074651e-05,-1.2185461195677e-05
2006dd,hst_11691_03_wfc3_ir_f110w_ib3n03_drz,531,50.6736654,-37.2079692,-36.53,71.893,43.725,-17.0936,0.0,6877588.0,307.7593,0.00031023167,0.00031525016,0.00040628086,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,1.4669447051609e-21,1.13593373119443e-21,3.56250007947285e-05
2006dd,hst_11691_03_wfc3_ir_f160w_ib3n03_drz,532,50.6736815,-37.2079722,-36.91,70.917,42.127,-16.5196,0.0,4053592.0,180.0513,0.00033034026,0.00035019076,0.00043197145,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-2.0501255559679e-21,-1.088809022895e-21,3.56250007947285e-05
2006bz,hst_14182_08_wfc3_ir_f160w_icwr08_drz,533,195.1780269,27.9713939,10.26,34.647,27.997,-12.771,0.0,128351.5,2.673642,0.00084707368,-0.00015519932,0.0012617693,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.4608161798828598e-22,-1.998125578521e-22,3.56250007947285e-05
2006bz,hst_14182_02_wfc3_ir_f160w_icwr02_drz,534,195.1034146,27.926679,68.39,45.029,15.391,-9.8218,0.0003,8486.549,2.55912,0.0037162052,-0.0025529519,0.00099874765,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.3896148612430499e-22,-2.8211508534322e-22,3.56250007947285e-05
2006bz,hst_14182_10_wfc3_ir_f160w_icwr10_drz,535,195.044534,27.9645458,27.29,5.487,5.163,-13.2599,0.0,201347.8,0.8918678,0.034113813,-0.0035059343,0.036606655,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.7937121300860001e-22,6.29204705646377e-22,3.56250007947285e-05
2006bz,hst_skycell-p1973x14y02_wfc3_ir_f160w_coarse-all_drz,536,195.2462695,27.8188234,7.45,1.379,0.488,-5.1397,0.0015,113.7267,0.1552555,0.5873816,-0.94631493,4.1448202,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2006bz,hst_14182_06_wfc3_ir_f160w_icwr06_drz,537,194.8837445,27.9210607,-15.89,21.093,18.734,-8.8798,0.0008,3563.692,2.494094,0.0022927846,0.00031681388,0.002804063,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,2.4997832160827602e-23,-2.2481164396663e-23,3.56250007947285e-05
2006bz,hst_13352_cy_wfc3_ir_f160w_icdxcy_drz,538,195.2585194,27.8237296,-73.35,8.158,5.108,-5.8097,0.0227,210.7987,4.404418,0.036420606,0.012795305,0.016940055,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,4.88792548727815e-22,4.3732377572861795e-22,3.56250007947285e-05
2006bz,hst_11711_02_wfc3_ir_f160w_ib2i02_drz,539,194.9178691,27.9682709,-39.89,24.115,12.238,-11.1029,0.0002,27617.06,5.240754,0.0037585439,0.0048791175,0.0046384041,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,1.30036441436369e-22,7.59920751490097e-23,3.56250007947285e-05
2006bz,hst_14182_15_wfc3_ir_f160w_icwr15_drz,540,195.1629001,28.0098407,13.21,35.596,25.982,-8.4075,0.0012,2306.709,2.516084,0.00082536408,-0.0003078818,0.001445168,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,2.65876193636808e-22,-1.5825312140724e-22,3.56250007947285e-05
2006bz,hst_skycell-p1973x14y02_wfc3_ir_f160w_all_drz,541,195.2466815,27.8188786,0.73,0.802,0.5,2.5037,0.133,0.09966436,0.01220941,1.55572,-0.062590428,4.0011988,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2006bz,hst_skycell-p1892x04y19_wfc3_ir_f160w_coarse-all_drz,542,195.0394472,27.9156808,-53.78,37.91,33.438,-9.745,0.0005,7906.82,3.35567,0.00082501461,0.00018930051,0.00076514366,2024-11-22,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2006bz,icwr08050_drz,543,195.1781775,27.9713779,6.06,35.404,32.708,-12.828,0.0,135265.9,2.922194,0.00079931633,-2.8768523e-05,0.00093320868,2025-03-31,HST,WFC3,F160W,3.54894558802972e-05,3.10470657950915e-06,3.10470657950915e-06,-3.5489455880297e-05
2006bz,hst_skycell-p1892x04y19_wfc3_ir_f160w_all_drz,544,194.9350669,27.9129785,-48.21,75.624,37.866,-10.7303,0.0,19594.66,0.685882,0.00046541286,0.00051930145,0.00040688866,2024-11-22,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2006bz,hst_14182_09_wfc3_ir_f160w_icwr09_drz,545,195.1183025,27.9723996,8.85,48.171,26.882,-11.8138,0.0001,53153.5,3.674415,0.00045348977,-0.00028964199,0.0013612186,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,-8.430330345380401e-24,-1.3719369102260002e-23,3.56250007947285e-05
2006bz,hst_14182_03_wfc3_ir_f160w_icwr03_drz,546,195.0682029,27.9227779,34.68,15.8,13.045,-6.6879,0.0028,473.3226,1.227737,0.0046111089,-0.0017503576,0.0052704117,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.66845345171378e-23,-1.1582966468075e-22,3.56250007947285e-05
2006bz,hst_14182_11_wfc3_ir_f160w_icwr11_drz,547,195.0216664,27.9766901,43.08,94.789,50.615,-10.6033,0.0009,17431.02,13.81858,0.00024147767,-0.00027841222,0.00026015341,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,3.4181316864230504e-23,-2.5250181560428e-23,3.56250007947285e-05
