SNID,filename,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_16500_02_wfc3_ir_total_iejn02/hst_16500_02_wfc3_ir_total_iejn02_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-3.5413289128107e-22,5.47650409476643e-22,3.56250007947286e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_15133_31_wfc3_ir_f160w_idkv31/hst_15133_31_wfc3_ir_f160w_idkv31_drz.fits,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,-9.9495373794873e-22,1.52789278931806e-21,3.56250007947285e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_skycell-p1636x21y19_wfc3_ir_f160w_all/hst_skycell-p1636x21y19_wfc3_ir_f160w_all_drz.fits,2024-11-19,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_14178_cu_wfc3_ir_f160w_id1kcu/hst_14178_cu_wfc3_ir_f160w_id1kcu_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-6.5584435982987e-22,-4.6703304608511e-22,3.56250007947285e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_15133_31_wfc3_ir_total_idkv31/hst_15133_31_wfc3_ir_total_idkv31_drz.fits,2024-11-08,HST,WFC3,detection,-3.5625000794728e-05,-9.9495373794873e-22,1.52789278931806e-21,3.56250007947285e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_14178_cu_wfc3_ir_total_id1kcu/hst_14178_cu_wfc3_ir_total_id1kcu_drz.fits,2024-11-09,HST,WFC3,detection,-3.5625000794728e-05,-6.5584435982987e-22,-4.6703304608511e-22,3.56250007947285e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_16500_02_wfc3_ir_f160w_iejn02/hst_16500_02_wfc3_ir_f160w_iejn02_drz.fits,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-3.5413289128107e-22,5.47650409476643e-22,3.56250007947286e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_14178_ct_wfc3_ir_f110w_id1kct/hst_14178_ct_wfc3_ir_f110w_id1kct_drz.fits,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,-6.5584435982987e-22,-4.6703304608511e-22,3.56250007947285e-05
2006X,pantheon_data_folder/2006X/mastDownload/HST/hst_skycell-p1635x04y19_wfc3_ir_f110w_all/hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz.fits,2024-11-22,HST,WFC3,F110W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HLA/hst_11207_06_acs_sbc_f140lp/hst_11207_06_acs_sbc_f140lp_drz.fits,2017-10-20,HST,ACS,,-8.3333333333333e-06,-1.5516525430854e-36,0.0,8.33333333333336e-06
2005mz,pantheon_data_folder/2005mz/mastDownload/HLA/hst_11207_08_acs_sbc_f140lp/hst_11207_08_acs_sbc_f140lp_drz.fits,2017-10-21,HST,ACS,,-8.3333333333333e-06,0.0,0.0,8.33333333333336e-06
2005mz,pantheon_data_folder/2005mz/mastDownload/HLA/hst_11207_07_acs_sbc_f140lp/hst_11207_07_acs_sbc_f140lp_drz.fits,2017-10-21,HST,ACS,,-8.3333333333333e-06,-1.5516525430854e-36,0.0,8.33333333333336e-06
2005mz,pantheon_data_folder/2005mz/mastDownload/HLA/HST_7330_1r_NIC_NIC2_F160W/HST_7330_1r_NIC_NIC2_F160W_drz.fits,2009-11-27T21:45:59,HST,NICMOS,F160W,-1.388888888888889e-05,0.0,0.0,1.388888888888889e-05
2005mz,pantheon_data_folder/2005mz/mastDownload/HST/hst_13050_11_wfc3_ir_f160w_ic0b11/hst_13050_11_wfc3_ir_f160w_ic0b11_drz.fits,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,2.17312968214872e-21,1.69416614126529e-21,3.56250007947285e-05
