index,filename,On_Image,SNID,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,ultra_extended
5504,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_50_wfc3_ir_f140w/hst_12498_50_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_50_wfc3_ir_f140w_drz,2017-08-24,HST,WFC3,F140W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5505,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_27_wfc3_ir_f160w/hst_11563_27_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_27_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5506,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_18_wfc3_ir_f105w/hst_12498_18_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_18_wfc3_ir_f105w_drz,2017-08-15,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5507,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_18_wfc3_ir_f125w/hst_11563_18_wfc3_ir_f125w_drz.fits,True,Primo,hst_11563_18_wfc3_ir_f125w_drz,2017-08-24,HST,WFC3,F125W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5508,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_07_wfc3_ir_f160w/hst_12498_07_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_07_wfc3_ir_f160w_drz,2017-08-18,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5509,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_2a_wfc3_ir_f160w/hst_11563_2a_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_2a_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5510,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12062_gd_wfc3_ir_f125w/hst_12062_gd_wfc3_ir_f125w_drz.fits,True,Primo,hst_12062_gd_wfc3_ir_f125w_drz,2017-08-26,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5511,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_1g_wfc3_ir_f160w/hst_11563_1g_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_1g_wfc3_ir_f160w_drz,2017-08-15,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5512,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_29_wfc3_ir_f105w/hst_12498_29_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_29_wfc3_ir_f105w_drz,2017-10-21,HST,WFC3,F105W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5514,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_06_wfc3_ir_f160w/hst_12498_06_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_06_wfc3_ir_f160w_drz,2017-08-28,HST,WFC3,F160W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5515,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_15_wfc3_ir_f105w/hst_12498_15_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_15_wfc3_ir_f105w_drz,2017-08-11,HST,WFC3,F105W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5516,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_31_wfc3_ir_f105w/hst_12498_31_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_31_wfc3_ir_f105w_drz,2017-10-21,HST,WFC3,F105W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5517,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_05_wfc3_ir_f160w/hst_12498_05_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_05_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5518,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_49_wfc3_ir_f105w/hst_12498_49_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_49_wfc3_ir_f105w_drz,2017-09-10,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5520,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_3b_wfc3_ir_f160w/hst_11563_3b_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_3b_wfc3_ir_f160w_drz,2017-08-28,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5521,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12061_h7_wfc3_ir_f125w/hst_12061_h7_wfc3_ir_f125w_drz.fits,True,Primo,hst_12061_h7_wfc3_ir_f125w_drz,2017-09-10,HST,WFC3,F125W,-2.5e-05,-3.7600000000000004e-37,-3.7600000000000004e-37,2.5e-05,,i/na,
5522,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_pc_wfc3_ir_f125w/hst_12099_pc_wfc3_ir_f125w_drz.fits,True,Primo,hst_12099_pc_wfc3_ir_f125w_drz,2017-08-19,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5523,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_23_wfc3_ir_f160w/hst_11563_23_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_23_wfc3_ir_f160w_drz,2017-08-11,HST,WFC3,F160W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
5524,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_09_wfc3_ir_f160w/hst_12498_09_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_09_wfc3_ir_f160w_drz,2017-08-27,HST,WFC3,F160W,-2.5e-05,1.8800000000000002e-37,1.8800000000000002e-37,2.5e-05,,i/na,
