SNID,File_key,Galaxy_key,Galaxy_RA,Galaxy_Dec,Zeropoint,Instrumental_Mag,Apparent_Magnitude,Absolute_Magnitude,Flag_mag,Flag_instrum
2006D,hst_skycell-p1102x15y12_wfc3_ir_f160w_all_drz,98,193.132436,-9.7941024,25.933782550932182,-5.5171,20.416682550932183,-12.410622680450931,False,False
2006D,hst_15640_02_wfc3_ir_f160w_idxb02_drz,99,193.1445593,-9.7765597,25.933782550932182,-13.2767,12.657082550932182,-20.170222680450934,False,False
2006D,hst_15640_09_wfc3_ir_f160w_idxb09_drz,100,193.1445438,-9.7765528,25.933782550932182,-13.2731,12.660682550932183,-20.16662268045093,False,False
2006D,idxb03030_drz,101,193.1445426,-9.7765472,25.933782550932182,-13.2736,12.660182550932182,-20.16712268045093,False,False
2006D,hst_15640_03_wfc3_ir_f160w_idxb03_drz,102,193.1445932,-9.7766145,25.933782550932182,-13.301,12.632782550932182,-20.19452268045093,False,False
2006D,idxb01030_drz,103,193.1491768,-9.7814839,25.933782550932182,-10.6701,15.263682550932183,-17.563622680450933,False,False
2006D,hst_15640_07_wfc3_ir_f160w_idxb07_drz,104,193.1445608,-9.776563,25.933782550932182,-13.2832,12.650582550932182,-20.176722680450933,False,False
2007au,if7q89010_drz,105,107.924346,49.8666599,26.802394340324035,-11.888,14.914394340324035,-19.78040293955234,False,False
2007au,hst_17436_89_wfc3_ir_f110w_if7q89_drz,106,107.9244507,49.8622462,26.802394340324035,-14.3534,12.448994340324035,-22.24580293955234,False,False
2007af,ie5406070_drz,107,215.5602049,-0.3969524,25.946227204106755,-4.4483,21.497927204106755,-10.385901220971714,True,False
2007af,hst_11570_41_wfc3_ir_f160w_drz,108,215.6131879,-0.4079402,25.946227204106755,-1.3563,24.589927204106754,-7.293901220971716,True,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f160w_coarse-all_drz,109,215.6135114,-0.4080154,25.946227204106755,-6.7651,19.181127204106755,-12.702701220971715,False,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f140w_all_drz,110,215.5959952,-0.3971662,25.946227204106755,-1.8593,24.086927204106754,-7.796901220971716,True,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f125w_coarse-all_drz,111,215.5858592,-0.3981414,25.946227204106755,-4.1789,21.767327204106756,-10.116501220971713,True,False
2007af,ib1f42t6q_drz,112,215.5904561,-0.3883236,25.946227204106755,-8.7373,17.208927204106757,-14.674901220971712,False,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f105w_all_drz,113,215.5945841,-0.3978461,25.946227204106755,-2.8663,23.079927204106756,-8.803901220971714,True,False
2007af,ie5406060_drz,114,215.5591016,-0.3961603,25.946227204106755,-6.9184,19.027827204106757,-12.856001220971713,False,False
2007af,ib1f42010_drz,115,215.5821966,-0.3904947,25.946227204106755,-2.109,23.837227204106753,-8.046601220971716,True,False
2007af,hst_15889_06_wfc3_ir_f125w_ie5406_drz,116,215.5858408,-0.3981206,25.946227204106755,-4.4272,21.519027204106756,-10.364801220971714,True,False
2007af,hst_15889_06_wfc3_ir_f140w_ie5406_drz,117,215.5917416,-0.3967889,25.946227204106755,-4.3824,21.563827204106754,-10.320001220971715,True,False
2007af,ie5406010_drz,118,215.5820545,-0.3949059,25.946227204106755,-4.0256,21.920627204106754,-9.963201220971715,True,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f105w_coarse-all_drz,119,215.5969659,-0.3977205,25.946227204106755,-4.1039,21.842327204106756,-10.041501220971714,True,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f140w_all_drz,120,215.5948544,-0.3971421,25.946227204106755,-2.5244,23.421827204106755,-8.462001220971715,True,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f105w_all_drz,121,215.5954359,-0.397834,25.946227204106755,-2.4878,23.458427204106755,-8.425401220971715,True,False
2007af,hst_11570_42_wfc3_ir_f160w_drz,122,215.6136536,-0.4080147,25.946227204106755,99.0,124.94622720410675,93.06239877902829,True,True
2007af,hst_11570_41_wfc3_ir_f160w_ib1f41_drz,123,215.6131573,-0.4078498,25.946227204106755,-1.7206,24.225627204106754,-7.658201220971716,True,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f140w_coarse-all_drz,124,215.5961668,-0.3969561,25.946227204106755,-3.7432,22.203027204106753,-9.680801220971716,True,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f140w_coarse-all_drz,125,215.5874834,-0.3968127,25.946227204106755,-4.0187,21.927527204106756,-9.956301220971714,True,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f160w_all_drz,126,215.6126702,-0.4083085,25.946227204106755,-0.6419,25.304327204106755,-6.579501220971714,True,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f125w_all_drz,127,215.5974588,-0.3986284,25.946227204106755,-2.0559,23.890327204106754,-7.993501220971716,True,False
2007af,hst_15889_06_wfc3_ir_f105w_ie5406_drz,128,215.5969749,-0.3977237,25.946227204106755,-4.1823,21.763927204106757,-10.119901220971713,True,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f105w_coarse-all_drz,129,215.5969694,-0.3977176,25.946227204106755,-4.0573,21.888927204106757,-9.994901220971713,True,False
2007af,hst_15889_06_wfc3_ir_f160w_ie5406_drz,130,215.5913189,-0.3956025,25.946227204106755,-4.1142,21.832027204106755,-10.051801220971715,True,False
2007af,hst_11570_42_wfc3_ir_f160w_ib1f42_drz,131,215.6131346,-0.4082206,25.946227204106755,-6.1611,19.785127204106754,-12.098701220971716,False,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f125w_coarse-all_drz,132,215.5837658,-0.3979959,25.946227204106755,-4.2398,21.706427204106756,-10.177401220971714,True,False
2007af,ib1f41mrq_drz,133,215.5904688,-0.3885715,25.946227204106755,-8.872,17.074227204106755,-14.809601220971714,False,False
2007af,hst_skycell-p1376x13y01_wfc3_ir_f160w_all_drz,134,215.6120316,-0.4081814,25.946227204106755,-1.8586,24.087627204106756,-7.796201220971714,True,False
2007af,hst_mos_1013227_wfc3_ir_f160w_drz,135,215.6141785,-0.4055234,25.946227204106755,-5.2587,20.687527204106754,-11.196301220971716,True,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f160w_coarse-all_drz,136,215.6127585,-0.4083031,25.946227204106755,-4.2523,21.693927204106757,-10.189901220971713,True,False
2007af,hst_skycell-p1286x13y18_wfc3_ir_f125w_all_drz,137,215.5970097,-0.3985797,25.946227204106755,-2.3773,23.568927204106757,-8.314901220971713,True,False
2007af,ib1f41010_drz,138,215.5904491,-0.3884947,25.946227204106755,-9.0471,16.899127204106755,-14.984701220971715,False,False
2007af,ie5406040_drz,139,215.5584184,-0.3950458,25.946227204106755,-4.8376,21.108627204106753,-10.775201220971717,True,False
2005al,hst_17446_24_wfc3_ir_f110w_if7r24_drz,140,207.509062,-30.5901972,26.80316307792767,-12.7382,14.06496307792767,-19.574705423429002,False,False
2005al,if7r24010_drz,141,207.506255,-30.5783963,26.80316307792767,-14.4066,12.396563077927672,-21.243105423429,False,False
2005al,hst_skycell-p0681x19y08_wfc3_ir_f110w_coarse-all_drz,142,207.4883959,-30.5993675,26.80316307792767,-5.2513,21.55186307792767,-12.087805423429003,False,False
2005al,hst_skycell-p0681x19y08_wfc3_ir_f110w_all_drz,143,207.4936352,-30.5946658,26.80316307792767,-8.0869,18.71626307792767,-14.923405423429003,False,False
2005al,hst_skycell-p0681x19y09_wfc3_ir_f110w_coarse-all_drz,144,207.5058692,-30.5773536,26.80316307792767,-13.5738,13.22936307792767,-20.410305423429,False,False
2005al,hst_skycell-p0681x19y09_wfc3_ir_f110w_all_drz,145,207.5160967,-30.578677,26.80316307792767,1.0715,27.87466307792767,-5.7650054234290025,True,False
2005M,n90ze4030_mos,146,144.3869113,23.2032039,23.400003872471988,-9.1036,14.296403872471988,-20.851914160596227,False,False
2005M,HST_10182_e4_NIC_NIC3_F160W_drz,147,144.3843469,23.2068683,23.400003872471988,-8.2949,15.105103872471988,-20.04321416059623,False,False
2005M,HST_10182_e2_NIC_NIC3_F110W_drz,148,144.3874197,23.2055851,23.400003872471988,-7.9959,15.404103872471989,-19.744214160596226,False,False
2005M,HST_10182_e1_NIC_NIC3_F110W_drz,149,144.3915696,23.2036353,23.400003872471988,99.0,122.40000387247198,87.25168583940376,True,True
2005M,n90ze4020_mos,150,144.3852391,23.2032297,23.400003872471988,-7.8133,15.586703872471988,-19.56161416059623,False,False
2005M,n90ze2030_mos,151,144.3869511,23.2030915,23.400003872471988,-8.9507,14.449303872471988,-20.699014160596228,False,False
2005M,HST_10182_e1_NIC_NIC3_F160W_drz,152,144.3733215,23.1989358,23.400003872471988,-0.7473,22.65270387247199,-12.495614160596226,False,False
2005M,HST_10182_e4_NIC_NIC3_F110W_drz,153,144.3842817,23.2069225,23.400003872471988,-7.773,15.627003872471988,-19.521314160596226,False,False
2005M,HST_10182_e2_NIC_NIC3_F160W_drz,154,144.3872534,23.2030749,23.400003872471988,-10.5851,12.814903872471987,-22.333414160596227,False,False
2005M,n90ze2020_mos,155,144.386864,23.2033196,23.400003872471988,-8.4419,14.958103872471987,-20.190214160596227,False,False
2005M,n90ze5030_mos,156,144.3850436,23.2033498,23.400003872471988,-7.8664,15.53360387247199,-19.614714160596225,False,False
2005M,HST_10182_e5_NIC_NIC3_F110W_drz,157,144.3849586,23.2033471,23.400003872471988,-9.49,13.910003872471988,-21.238314160596225,False,False
2005M,HST_10182_e3_NIC_NIC3_F160W_drz,158,144.3869834,23.203539,23.400003872471988,-10.7056,12.694403872471987,-22.453914160596227,False,False
2005M,n90ze5020_mos,159,144.385049,23.2033444,23.400003872471988,-7.7742,15.625803872471987,-19.522514160596227,False,False
2005M,n90ze1020_mos,160,144.3756493,23.1945799,23.400003872471988,-6.3615,17.03850387247199,-18.109814160596226,False,False
2005M,n90ze3030_mos,161,144.3868387,23.2030749,23.400003872471988,-8.9901,14.409903872471988,-20.73841416059623,False,False
2005M,n90ze3020_mos,162,144.3867874,23.2032926,23.400003872471988,-8.5406,14.859403872471988,-20.288914160596228,False,False
2005M,n90ze1030_mos,163,144.3868051,23.2035406,23.400003872471988,-8.8508,14.549203872471988,-20.599114160596226,False,False
2005M,HST_10182_e5_NIC_NIC3_F160W_drz,164,144.3865086,23.2034168,23.400003872471988,-10.3973,13.002703872471988,-22.145614160596224,False,False
2005M,HST_10182_e3_NIC_NIC3_F110W_drz,165,144.3854789,23.2034389,23.400003872471988,-9.2317,14.168303872471988,-20.980014160596227,False,False
2005ke,hst_skycell-p0726x07y16_wfc3_ir_f160w_coarse-all_drz,166,53.7493078,-24.9225763,25.935213457316884,-5.0969,20.838313457316886,-10.776345728242166,True,False
2005ke,hst_skycell-p0726x07y15_wfc3_ir_f160w_coarse-all_drz,167,53.7555371,-24.9331569,25.935213457316884,-14.5144,11.420813457316884,-20.193845728242167,False,False
2005ke,hst_skycell-p0726x07y16_wfc3_ir_f160w_all_drz,168,53.7654824,-24.9241339,25.935213457316884,1.2213,27.156513457316883,-4.458145728242169,True,False
2005ke,idkv07030_drz,169,53.755639,-24.9333013,25.935213457316884,-14.5673,11.367913457316885,-20.246745728242168,False,False
2005ke,hst_15133_07_wfc3_ir_f160w_idkv07_drz,170,53.7557004,-24.9331952,25.935213457316884,-14.5922,11.343013457316884,-20.27164572824217,False,False
2005ke,hst_skycell-p0726x07y15_wfc3_ir_f160w_all_drz,171,53.7477358,-24.9559408,25.935213457316884,-4.2269,21.708313457316883,-9.906345728242169,True,False
2002fb,hst_17436_12_wfc3_ir_f110w_if7q12_drz,172,29.4597474,36.3430743,26.802632814892434,-14.7283,12.074332814892433,-22.02026468771467,False,False
2002fb,if7q12010_drz,173,29.4597399,36.3430617,26.802632814892434,-14.7269,12.075732814892433,-22.018864687714668,False,False
2002fk,hst_skycell-p0978x05y05_wfc3_ir_f160w_all_drz,174,50.5341893,-15.4210352,23.465306907308975,-6.2623,17.203006907308975,-15.251687030587746,False,False
2002fk,na4m03010_mos,175,50.5256048,-15.4084269,23.465306907308975,-0.9764,22.488906907308973,-9.965787030587748,True,False
2002fk,hst_15145_33_wfc3_ir_f160w_idgg33_drz,176,154.2230311,73.4007045,23.465306907308975,-15.0465,8.418806907308975,-24.035887030587745,False,False
2002fk,HST_10802_57_NIC_NIC2_F160W_drz,177,50.516525,-15.4006612,23.465306907308975,-7.9292,15.536106907308975,-16.918587030587744,False,False
2002fk,HST_10802_f5_NIC_NIC2_F160W_drz,178,50.5283586,-15.4048793,23.465306907308975,-8.9606,14.504706907308975,-17.949987030587746,False,False
2002fk,ib1f20030_drz,179,50.5194879,-15.3958642,23.465306907308975,-10.3819,13.083406907308975,-19.371287030587744,False,False
