,index,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,On_Image
2565,5284,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_21_acs_wfc_f775w_j8m821/hst_9978_21_acs_wfc_f775w_j8m821_drc.fits,hst_9978_21_acs_wfc_f775w_j8m821_drc,2024-11-01,HST,ACS,F775W,-1.39e-05,-5.34e-22,-5.62e-22,1.39e-05,,,True
2566,5285,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_63_wfc3_ir_f140w_ibp363/hst_12498_63_wfc3_ir_f140w_ibp363_drz.fits,hst_12498_63_wfc3_ir_f140w_ibp363_drz,2024-11-08,HST,WFC3,F140W,-3.56e-05,3.17e-21,2.2200000000000002e-21,3.56e-05,,,True
2567,5286,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_27_wfc3_ir_f105w_ibp327/hst_12498_27_wfc3_ir_f105w_ibp327_drz.fits,hst_12498_27_wfc3_ir_f105w_ibp327_drz,2024-11-08,HST,WFC3,F105W,-3.56e-05,-1.5600000000000002e-21,-2.19e-22,3.56e-05,,,True
2568,5287,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_10340_m3_acs_wfc_f775w_j92qm3/hst_10340_m3_acs_wfc_f775w_j92qm3_drc.fits,hst_10340_m3_acs_wfc_f775w_j92qm3_drc,2024-11-05,HST,ACS,F775W,-1.39e-05,8.939999999999999e-23,-2.74e-23,1.39e-05,,,True
2569,5288,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_b6_acs_wfc_f775w_j8m8b6/hst_9978_b6_acs_wfc_f775w_j8m8b6_drc.fits,hst_9978_b6_acs_wfc_f775w_j8m8b6_drc,2024-11-07,HST,ACS,F775W,-1.39e-05,-1.26e-22,1.53e-22,1.39e-05,,,True
2570,5289,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_bd_acs_wfc_f775w_j8m8bd/hst_9978_bd_acs_wfc_f775w_j8m8bd_drc.fits,hst_9978_bd_acs_wfc_f775w_j8m8bd_drc,2024-11-04,HST,ACS,F775W,-1.39e-05,-7.7e-24,1.08e-22,1.39e-05,,,True
2571,5290,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_52_acs_wfc_f775w_jb5x52/hst_11563_52_acs_wfc_f775w_jb5x52_drc.fits,hst_11563_52_acs_wfc_f775w_jb5x52_drc,2024-11-02,HST,ACS,F775W,-1.39e-05,-7.83e-23,8.87e-23,1.39e-05,,,True
2572,5291,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_90_acs_wfc_f775w_j8m890/hst_9978_90_acs_wfc_f775w_j8m890_drc.fits,hst_9978_90_acs_wfc_f775w_j8m890_drc,2024-11-07,HST,ACS,F775W,-1.39e-05,-1.32e-21,-1.3100000000000002e-21,1.39e-05,,,True
2573,5292,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_9978_9c_acs_wfc_f775w_j8m89c/hst_9978_9c_acs_wfc_f775w_j8m89c_drc.fits,hst_9978_9c_acs_wfc_f775w_j8m89c_drc,2024-11-02,HST,ACS,F775W,-1.39e-05,-7.1e-22,-1.13e-21,1.39e-05,,,True
2574,5293,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_09_wfc3_ir_f160w_ibp309/hst_12498_09_wfc3_ir_f160w_ibp309_drz.fits,hst_12498_09_wfc3_ir_f160w_ibp309_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,1.78e-21,3.4200000000000005e-21,3.56e-05,,,True
