SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY
SCP05D0,n9epd1010_mos,13210,35.4238556,-3.3671224,14.24,1.911,1.734,3.5,0.4069,0.0986,0.6874685,0.06239125,0.27746633,-0.027880801,0.32886851
SCP05D0,j9epo8sgq_drz,13211,35.4512709,-3.3280919,8.09,0.903,0.443,6.03,0.7272,0.1461,0.5118222,0.06884556,1.3026942,-1.078146,5.0171032
SCP05D0,j9epo7jgq_drz,13212,35.433385,-3.4063612,-5.84,0.942,0.458,6.51,0.4891,0.162,0.6373234,0.09508807,1.1636971,0.73870718,4.734385
SCP05D0,j9epo8sgq_drc,13213,35.4512709,-3.3280919,8.09,0.903,0.443,6.02,0.7314,0.1508,0.50985,0.07079674,1.3032917,-1.0782725,5.0189915
SCP05D0,j9epo4esq_drc,13214,35.4597439,-3.3358879,0.35,0.872,0.376,5.27,-0.1925,0.0639,1.193999,0.07021485,1.3141174,-0.07105156,7.0551829
SCP05D0,hst_10496_o5_acs_wfc_f775w_j9epo5_drc,13215,35.4402116,-3.4015495,74.84,4.081,0.926,3.5,-4.1381,0.0038,45.20858,0.1580059,1.0917307,-0.55895329,0.13576712
SCP05D0,j9epo4esq_drz,13216,35.4597439,-3.3358879,0.35,0.872,0.376,5.27,-0.1919,0.0627,1.193365,0.06892775,1.3142072,-0.071083426,7.0555291
03D3cd,hst_skycell-p2382x14y05_wfc3_ir_f160w_all_drz,13217,214.6223323,52.484547,81.38,6.014,3.238,3.5,-0.791,0.0272,2.072105,0.05195599,0.093848176,-0.020075331,0.029172046
03D3cd,hst_12547_03_wfc3_ir_f140w_ibt303_drz,13218,214.585164,52.5251039,43.25,1.985,1.755,3.5,-3.1096,0.026,17.53163,0.4202425,0.28719318,-0.070849836,0.29152694
03D3cd,hst_skycell-p2382x14y05_wfc3_ir_f160w_coarse-all_drz,13219,214.6223324,52.4845474,82.93,2.098,1.127,4.41,-0.7955,0.0798,2.080649,0.1529707,0.77876973,-0.13688612,0.23578158
03D3cd,hst_13868_07_wfc3_ir_f160w_icp907_drz,13220,214.6834503,52.6157069,88.84,2.267,1.707,6.51,-1.4229,0.0852,3.708264,0.2908924,0.34311968,-0.0060002147,0.19468449
03D3cd,hst_15287_24_wfc3_ir_f160w_idia24_drz,13221,214.5769098,52.4885769,80.25,10.979,4.219,3.5,-5.6777,0.002,186.6786,0.3399449,0.054804377,-0.015976382,0.0096674077
03D3cd,hst_12063_1k_wfc3_ir_f160w_ibeo1k_drz,13222,214.6934409,52.6923583,-58.69,6.94,3.271,4.63,-4.3689,0.0164,55.91805,0.84466,0.073837429,0.064569697,0.040402424
03D3cd,icp906010_drz,13223,214.5857107,52.6178395,70.7,5.061,3.934,3.5,-4.7404,0.0047,78.73228,0.3376149,0.061817769,-0.015955565,0.041836355
03D3cd,hst_13868_06_wfc3_ir_f160w_icp906_drz,13224,214.6094948,52.5896293,-55.05,4.792,2.731,3.5,-5.8121,0.0014,211.2767,0.2818791,0.10439578,0.085036814,0.07326299
03D3cd,hst_13868_14_wfc3_ir_f160w_icp914_drz,13225,214.7284618,52.6504166,-84.48,7.718,3.618,4.09,-4.8738,0.0067,89.02814,0.5471193,0.075855576,0.01141435,0.017340161
03D3cd,hst_skycell-p2382x15y05_wfc3_ir_f160w_coarse-all_drz,13226,214.5951403,52.4524604,-2.1,28.568,21.864,3.5,-9.6155,0.0003,7017.719,1.737266,0.0012264927,6.3443622e-05,0.0020907621
03D3cd,hst_skycell-p2382x14y05_wfc3_ir_f140w_all_drz,13227,214.6205707,52.5347957,-74.1,13.757,3.815,0.0,99.0,99.0,-45.50518,0.3149508,0.063959315,0.033431128,0.010045826
03D3cd,hst_12063_74_wfc3_ir_f160w_ibeo74_drz,13228,214.735245,52.6775505,-78.29,1.658,1.271,5.03,-1.7409,0.0559,4.970097,0.2558207,0.60870415,0.10146771,0.37448066
03D3cd,ibt307050_drz,13229,214.6705707,52.5916141,17.99,8.448,6.524,3.5,-13.6285,0.0,282743.8,1.669432,0.014916669,-0.0055709318,0.02259019
03D3cd,hst_skycell-p2382x15y05_wfc3_ir_f160w_all_drz,13230,214.595161,52.4524532,-3.06,39.299,32.131,3.5,-9.0899,0.0001,4324.847,0.3968526,0.00064839446,3.4202683e-05,0.000967692
03D3cd,hst_12547_07_wfc3_ir_f140w_ibt307_drz,13231,214.6705302,52.591632,53.21,8.501,6.518,3.5,-13.6382,0.0,285284.9,1.738753,0.020056609,-0.0093052294,0.017315926
03D3cd,hst_12063_73_wfc3_ir_f160w_ibeo73_drz,13232,214.6768878,52.689173,-33.62,1.248,0.768,3.69,0.0715,0.145,0.9363096,0.1249982,0.96489286,0.97168314,1.3726866
03D3cd,hst_skycell-p2382x14y05_wfc3_ir_f140w_coarse-all_drz,13233,214.6210195,52.5346904,78.52,1.77,0.712,3.5,0.1375,0.3991,0.8810431,0.3237437,1.9060594,-0.64457506,0.38473198
03D3cd,hst_12063_1l_wfc3_ir_f160w_ibeo1l_drz,13234,214.7567734,52.686005,-30.34,7.204,5.761,3.5,-7.121,0.0014,705.3582,0.8994058,0.022039698,0.009474704,0.027362768
2007af,jw01685-o010_t005_nircam_clear-f150w_i2d,13235,215.6268667,-0.352811,44.99,0.922,0.533,8.49,-0.3484,0.1396,1.378364,0.1771609,2.3484061,-2.3433039,2.349272
2007af,hst_mos_1013227_wfc3_ir_f160w_drz,13236,215.6141785,-0.4055234,-83.09,50.376,10.449,3.5,-5.2587,0.0102,126.903,1.190308,0.0090326006,0.0020947938,0.00052104722
2007af,ib1f41mrq_drz,13237,215.5904688,-0.3885715,-15.93,49.958,13.836,4.14,-8.869,0.007,3528.552,22.741,0.00076392741,0.0025456108,0.0048603984
2007af,hst_15889_06_wfc3_ir_f125w_ie5406_drz,13238,215.5858408,-0.3981206,18.88,1.565,0.51,3.5,-4.4272,0.1751,59.00502,9.514468,0.76834416,-2.1045413,3.4859724
2007af,hst_skycell-p1376x13y01_wfc3_ir_f160w_all_drz,13239,215.6120316,-0.4081814,28.87,1.425,0.728,4.0,-1.8586,0.0106,5.539054,0.05383766,0.81770587,-1.1788257,1.5620322
2007af,hst_skycell-p1286x13y18_wfc3_ir_f105w_coarse-all_drz,13240,215.5969694,-0.3977176,86.17,0.785,0.495,4.29,-4.0573,0.2081,41.96687,8.040183,4.0639114,-0.32696095,1.6329187
2007af,hst_skycell-p1376x13y01_wfc3_ir_f105w_coarse-all_drz,13241,215.5969659,-0.3977205,86.59,0.788,0.498,3.72,-4.1039,0.1609,43.80799,6.488832,4.0240803,-0.28733626,1.62046
2007af,hst_skycell-p1286x13y18_wfc3_ir_f140w_all_drz,13242,215.5959952,-0.3971662,-71.59,0.773,0.447,3.5,-1.8593,0.196,5.542523,1.000424,4.68221,2.0033476,2.0053573
2007af,hst_skycell-p1376x13y01_wfc3_ir_f140w_coarse-all_drz,13243,215.5874834,-0.3968127,-54.46,1.196,0.291,3.5,-4.0187,0.1676,40.50211,6.251072,8.0525866,10.507042,4.4520483
2007af,ie5406070_drz,13244,215.5602049,-0.3969524,-86.5,0.959,0.772,3.5,-4.4483,0.1641,60.16027,9.089566,1.675117,0.071779534,1.0896997
2007af,hst_skycell-p1286x13y18_wfc3_ir_f140w_coarse-all_drz,13245,215.5961668,-0.3969561,70.07,0.769,0.425,3.5,-3.7432,0.2097,31.42582,6.068305,5.0949512,-2.4685972,2.1379375
2007af,ib1f42010_drz,13246,215.5821966,-0.3904947,-9.54,1.051,0.711,6.07,-2.109,0.1165,6.975901,0.7483535,0.93498802,0.35113692,1.9497546
2007af,hst_skycell-p1376x13y01_wfc3_ir_f125w_all_drz,13247,215.5974588,-0.3986284,16.4,0.756,0.447,6.27,-2.0559,0.3043,6.643056,1.861174,2.0103524,-1.7672124,4.7528543
2007af,hst_11570_42_wfc3_ir_f160w_ib1f42_drz,13248,215.6131346,-0.4082206,-60.05,1.484,0.782,5.51,-6.1612,0.0033,291.3986,0.8927494,1.3418443,1.0226206,0.74882704
