SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
1991bg,/astro/armin/bhoomika/pantheon_data_folder/1991bg/mastDownload/JWST/jw03055-o004_t004_nircam_clear-f356w/jw03055-o004_t004_nircam_clear-f356w_i2d.fits,jw03055-o004_t004_nircam_clear-f356w_i2d,2025-06-06T07:14:28.260,JWST,NIRCAM,F356W,,,,
1997bq,/astro/armin/bhoomika/pantheon_data_folder/1997bq/mastDownload/JWST/jw02875-o003_t003_nircam_clear-f090w/jw02875-o003_t003_nircam_clear-f090w_i2d.fits,jw02875-o003_t003_nircam_clear-f090w_i2d,2025-06-12T06:51:21.156,JWST,NIRCAM,F090W,,,,
1997bq,/astro/armin/bhoomika/pantheon_data_folder/1997bq/mastDownload/JWST/jw02875-o003_t003_nircam_clear-f277w/jw02875-o003_t003_nircam_clear-f277w_i2d.fits,jw02875-o003_t003_nircam_clear-f277w_i2d,2025-06-12T06:44:07.337,JWST,NIRCAM,F277W,,,,
1997bq,/astro/armin/bhoomika/pantheon_data_folder/1997bq/mastDownload/JWST/jw02875-o003_t003_nircam_clear-f150w/jw02875-o003_t003_nircam_clear-f150w_i2d.fits,jw02875-o003_t003_nircam_clear-f150w_i2d,2025-06-12T06:57:41.128,JWST,NIRCAM,F150W,,,,
2001el,/astro/armin/bhoomika/pantheon_data_folder/2001el/mastDownload/JWST/jw01685-c1011_t008_nircam_clear-f090w/jw01685-c1011_t008_nircam_clear-f090w_i2d.fits,jw01685-c1011_t008_nircam_clear-f090w_i2d,2025-04-05T21:49:38.009,JWST,NIRCAM,F090W,,,,
2001el,/astro/armin/bhoomika/pantheon_data_folder/2001el/mastDownload/JWST/jw01685-c1011_t008_nircam_clear-f277w/jw01685-c1011_t008_nircam_clear-f277w_i2d.fits,jw01685-c1011_t008_nircam_clear-f277w_i2d,2025-04-05T06:43:22.758,JWST,NIRCAM,F277W,,,,
2001el,/astro/armin/bhoomika/pantheon_data_folder/2001el/mastDownload/JWST/jw01685-c1011_t008_nircam_clear-f150w/jw01685-c1011_t008_nircam_clear-f150w_i2d.fits,jw01685-c1011_t008_nircam_clear-f150w_i2d,2025-04-05T07:00:00.561,JWST,NIRCAM,F150W,,,,
2008fp,/astro/armin/bhoomika/pantheon_data_folder/2008fp/mastDownload/JWST/jw02064-o001_t001_miri_f2100w-sub256/jw02064-o001_t001_miri_f2100w-sub256_i2d.fits,jw02064-o001_t001_miri_f2100w-sub256_i2d,2025-03-21T05:25:43.567,JWST,MIRI,F2100W,,,,
2008fp,/astro/armin/bhoomika/pantheon_data_folder/2008fp/mastDownload/JWST/jw02064-o001_t001_miri_f1000w-sub256/jw02064-o001_t001_miri_f1000w-sub256_i2d.fits,jw02064-o001_t001_miri_f1000w-sub256_i2d,2025-03-21T05:26:06.016,JWST,MIRI,F1000W,,,,
2008fp,/astro/armin/bhoomika/pantheon_data_folder/2008fp/mastDownload/JWST/jw02064-o001_t001_miri_f1800w-sub256/jw02064-o001_t001_miri_f1800w-sub256_i2d.fits,jw02064-o001_t001_miri_f1800w-sub256_i2d,2025-03-21T05:25:53.410,JWST,MIRI,F1800W,,,,
2008fp,/astro/armin/bhoomika/pantheon_data_folder/2008fp/mastDownload/JWST/jw02064-o001_t001_miri_f560w-sub256/jw02064-o001_t001_miri_f560w-sub256_i2d.fits,jw02064-o001_t001_miri_f560w-sub256_i2d,2025-03-21T05:26:48.147,JWST,MIRI,F560W,,,,
