SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9583_f3_acs_wfc_f775w_j8dnf3/hst_9583_f3_acs_wfc_f775w_j8dnf3_drc.fits,hst_9583_f3_acs_wfc_f775w_j8dnf3_drc,2024-11-04,HST,ACS,F775W,-1.39E-05,5.46E-22,9.75E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_11600_05_acs_wfc_f775w_jb3705/hst_11600_05_acs_wfc_f775w_jb3705_drc.fits,hst_11600_05_acs_wfc_f775w_jb3705_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,-2.95E-22,-2.27E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_15977_01_wfc3_ir_f125w_ie0z01/hst_15977_01_wfc3_ir_f125w_ie0z01_drz.fits,hst_15977_01_wfc3_ir_f125w_ie0z01_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-2.35E-21,-2.27E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_5k_wfc3_ir_f160w_iboi5k/hst_12444_5k_wfc3_ir_f160w_iboi5k_drz.fits,hst_12444_5k_wfc3_ir_f160w_iboi5k_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-2.15E-22,2.89E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_9b_wfc3_ir_f160w_ibtm9b/hst_12445_9b_wfc3_ir_f160w_ibtm9b_drz.fits,hst_12445_9b_wfc3_ir_f160w_ibtm9b_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.53E-21,-9.55E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_10339_e8_acs_wfc_f775w_j91we8/hst_10339_e8_acs_wfc_f775w_j91we8_drc.fits,hst_10339_e8_acs_wfc_f775w_j91we8_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,3.18E-26,2.59E-26,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12443_aj_wfc3_ir_f125w_iboeaj/hst_12443_aj_wfc3_ir_f125w_iboeaj_drz.fits,hst_12443_aj_wfc3_ir_f125w_iboeaj_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,1.61E-21,-3.37E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_11600_45_acs_wfc_f775w_jb3745/hst_11600_45_acs_wfc_f775w_jb3745_drc.fits,hst_11600_45_acs_wfc_f775w_jb3745_drc,2024-11-06,HST,ACS,F775W,-1.39E-05,2.37E-22,3.54E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_6o_wfc3_ir_f125w_iboi6o/hst_12444_6o_wfc3_ir_f125w_iboi6o_drz.fits,hst_12444_6o_wfc3_ir_f125w_iboi6o_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,6.21E-22,-3.79E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9727_47_acs_wfc_f775w_j8wq47/hst_9727_47_acs_wfc_f775w_j8wq47_drc.fits,hst_9727_47_acs_wfc_f775w_j8wq47_drc,2024-11-02,HST,ACS,F775W,-1.39E-05,-2.86E-25,-1.53E-25,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_10339_a8_acs_wfc_f775w_j91wa8/hst_10339_a8_acs_wfc_f775w_j91wa8_drc.fits,hst_10339_a8_acs_wfc_f775w_j91wa8_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,-2.82E-27,1.70E-26,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9583_g2_acs_wfc_f775w_j8dng2/hst_9583_g2_acs_wfc_f775w_j8dng2_drc.fits,hst_9583_g2_acs_wfc_f775w_j8dng2_drc,2024-11-07,HST,ACS,F775W,-1.39E-05,-4.11E-26,-4.13E-26,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12442_bf_wfc3_ir_f105w_ibohbf/hst_12442_bf_wfc3_ir_f105w_ibohbf_drz.fits,hst_12442_bf_wfc3_ir_f105w_ibohbf_drz,2024-11-09,HST,WFC3,F105W,-3.56E-05,2.48E-21,2.24E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9583_i4_acs_wfc_f775w_j8dni4/hst_9583_i4_acs_wfc_f775w_j8dni4_drc.fits,hst_9583_i4_acs_wfc_f775w_j8dni4_drc,2024-11-02,HST,ACS,F775W,-1.39E-05,3.56E-22,-2.42E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9583_c1_acs_wfc_f775w_j8dnc1/hst_9583_c1_acs_wfc_f775w_j8dnc1_drc.fits,hst_9583_c1_acs_wfc_f775w_j8dnc1_drc,2024-11-07,HST,ACS,F775W,-1.39E-05,-7.27E-23,-3.37E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_11600_24_acs_wfc_f775w_jb3724/hst_11600_24_acs_wfc_f775w_jb3724_drc.fits,hst_11600_24_acs_wfc_f775w_jb3724_drc,2024-11-02,HST,ACS,F775W,-1.39E-05,1.22E-22,-1.15E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_10339_c7_acs_wfc_f775w_j91wc7/hst_10339_c7_acs_wfc_f775w_j91wc7_drc.fits,hst_10339_c7_acs_wfc_f775w_j91wc7_drc,2024-11-02,HST,ACS,F775W,-1.39E-05,2.82E-25,-1.04E-25,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12443_3b_wfc3_ir_f125w_iboe3b/hst_12443_3b_wfc3_ir_f125w_iboe3b_drz.fits,hst_12443_3b_wfc3_ir_f125w_iboe3b_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,1.12E-21,-1.31E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_7o_wfc3_ir_f125w_ibtm7o/hst_12445_7o_wfc3_ir_f125w_ibtm7o_drz.fits,hst_12445_7o_wfc3_ir_f125w_ibtm7o_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,1.52E-27,6.69E-27,3.56E-05,,
