,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
2638,220,/astro/armin/bhoomika/pantheon_data_folder/220/mastDownload/HST/hst_16259_8k_wfc3_ir_f160w_iedw8k/hst_16259_8k_wfc3_ir_f160w_iedw8k_drz.fits,hst_16259_8k_wfc3_ir_f160w_iedw8k_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-2.0606408041004e-22,2.41378819712056e-22,3.56250007947286e-05,,,hst_16259_8k_wfc3_ir_f160w_iedw8k_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,3.3141338535736205e-16,,,0.1282500028610219,,
2639,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_16744_02_wfc3_ir_f110w_ieq602/hst_16744_02_wfc3_ir_f110w_ieq602_drz.fits,hst_16744_02_wfc3_ir_f110w_ieq602_drz,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,-7.126936057055501e-22,-4.2427986774831e-22,3.56250007947286e-05,,,hst_16744_02_wfc3_ir_f110w_ieq602_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,1.1462269412477053e-15,,,0.1282500028610219,,
2640,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_13737_04_wfc3_ir_f160w_icoy04/hst_13737_04_wfc3_ir_f160w_icoy04_drz.fits,hst_13737_04_wfc3_ir_f160w_icoy04_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,2.1313567818865697e-22,7.7589263894818195e-22,3.56250007947285e-05,,,hst_13737_04_wfc3_ir_f160w_icoy04_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-3.427866540756838e-16,,,0.1282500028610217,,
2641,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_15889_10_wfc3_ir_f140w_ie5410/hst_15889_10_wfc3_ir_f140w_ie5410_drz.fits,hst_15889_10_wfc3_ir_f140w_ie5410_drz,2024-11-09,HST,WFC3,F140W,-3.5625000794728e-05,1.30616047427331e-21,-7.6737721481897e-22,3.56250007947286e-05,,,hst_15889_10_wfc3_ir_f140w_ie5410_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-2.1007012174927513e-15,,,0.1282500028610219,,
2642,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_13824_a1_wfc3_ir_f125w_icl0a1/hst_13824_a1_wfc3_ir_f125w_icl0a1_drz.fits,hst_13824_a1_wfc3_ir_f125w_icl0a1_drz,2024-11-09,HST,WFC3,F125W,-3.5625000794728e-05,-1.6971729714256e-21,-2.2578040396782e-21,3.56250007947285e-05,,,hst_13824_a1_wfc3_ir_f125w_icl0a1_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,2.729567612550141e-15,,,0.1282500028610217,,
2643,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_14678_02_wfc3_ir_f110w_id6v02/hst_14678_02_wfc3_ir_f110w_id6v02_drz.fits,hst_14678_02_wfc3_ir_f110w_id6v02_drz,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,3.67783301393954e-22,2.72135143092501e-22,3.56250007947285e-05,,,hst_14678_02_wfc3_ir_f110w_id6v02_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-5.91506820355766e-16,,,0.1282500028610217,,
2644,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_13824_02_acs_wfc_f625w_jcl002/hst_13824_02_acs_wfc_f625w_jcl002_drz.fits,hst_13824_02_acs_wfc_f625w_jcl002_drz,2024-11-04,HST,ACS,F625W,-1.3888888888888e-05,-3.8087526794458e-22,9.89953310317068e-24,1.38888888888888e-05,,,hst_13824_02_acs_wfc_f625w_jcl002_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,1.571223266938004e-15,,,0.04999999999999824,,
2645,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_16744_03_wfc3_ir_f160w_ieq603/hst_16744_03_wfc3_ir_f160w_ieq603_drz.fits,hst_16744_03_wfc3_ir_f160w_ieq603_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,4.43212438828528e-22,-8.1158545869881e-22,3.56250007947286e-05,,,hst_16744_03_wfc3_ir_f160w_ieq603_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-7.128196942056597e-16,,,0.1282500028610219,,
2646,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_13824_02_acs_wfc_f775w_jcl002/hst_13824_02_acs_wfc_f775w_jcl002_drz.fits,hst_13824_02_acs_wfc_f775w_jcl002_drz,2024-11-04,HST,ACS,F775W,-1.3888888888888e-05,6.47035502955874e-23,1.30992998763548e-22,1.38888888888888e-05,,,hst_13824_02_acs_wfc_f775w_jcl002_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-2.669213053043735e-16,,,0.04999999999999824,,
2647,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_15330_07_wfc3_ir_f110w_idny07/hst_15330_07_wfc3_ir_f110w_idny07_drz.fits,hst_15330_07_wfc3_ir_f110w_idny07_drz,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,-8.375308662958202e-22,-1.4151737001766e-21,3.56250007947286e-05,,,hst_15330_07_wfc3_ir_f110w_idny07_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,1.3470030254086825e-15,,,0.1282500028610219,,
2648,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_16744_03_wfc3_ir_f110w_ieq603/hst_16744_03_wfc3_ir_f110w_ieq603_drz.fits,hst_16744_03_wfc3_ir_f110w_ieq603_drz,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,-7.1475257693584e-22,2.0257069607301296e-22,3.56250007947286e-05,,,hst_16744_03_wfc3_ir_f110w_ieq603_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,1.1495383899214672e-15,,,0.1282500028610219,,
2649,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_15889_10_wfc3_ir_f105w_ie5410/hst_15889_10_wfc3_ir_f105w_ie5410_drz.fits,hst_15889_10_wfc3_ir_f105w_ie5410_drz,2024-11-09,HST,WFC3,F105W,-3.5625000794728e-05,-2.166687227137e-21,-3.3237523823366002e-21,3.56250007947286e-05,,,hst_15889_10_wfc3_ir_f105w_ie5410_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,3.484688585837799e-15,,,0.1282500028610219,,
2650,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_14166_03_wfc3_ir_f160w_iczj03/hst_14166_03_wfc3_ir_f160w_iczj03_drz.fits,hst_14166_03_wfc3_ir_f160w_iczj03_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.1626878202477003e-21,-1.0977538881602001e-21,3.56250007947285e-05,,,hst_14166_03_wfc3_ir_f160w_iczj03_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,1.8699537826063992e-15,,,0.1282500028610217,,
2651,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_15192_02_wfc3_ir_f110w_idhc02/hst_15192_02_wfc3_ir_f110w_idhc02_drz.fits,hst_15192_02_wfc3_ir_f110w_idhc02_drz,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,5.38527007319458e-22,-4.0119101618908e-22,3.56250007947285e-05,,,hst_15192_02_wfc3_ir_f110w_idhc02_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-8.661143574705957e-16,,,0.1282500028610217,,
2652,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_13824_01_acs_wfc_f625w_jcl001/hst_13824_01_acs_wfc_f625w_jcl001_drz.fits,hst_13824_01_acs_wfc_f625w_jcl001_drz,2024-11-07,HST,ACS,F625W,-1.3888888888888e-05,1.6182206557154098e-22,-8.7731743056007e-23,1.38888888888888e-05,,,hst_13824_01_acs_wfc_f625w_jcl001_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-6.675639400323808e-16,,,0.04999999999999824,,
2653,2011fe,/astro/armin/bhoomika/pantheon_data_folder/2011fe/mastDownload/HST/hst_16744_04_wfc3_ir_f160w_ieq604/hst_16744_04_wfc3_ir_f160w_ieq604_drz.fits,hst_16744_04_wfc3_ir_f160w_ieq604_drz,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,1.56457049562092e-21,-5.0455356239632015e-22,3.56250007947286e-05,,,hst_16744_04_wfc3_ir_f160w_ieq604_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-2.516302712982244e-15,,,0.1282500028610219,,
