,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
31,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-short/jw06138-c1010_t005_miri_ch4-short_s3d.fits,jw06138-c1010_t005_miri_ch4-short_s3d,2025-06-14T02:48:15.572,JWST,MIRI,,-9.72222205665376e-05,0.0,0.0,9.72222205665376e-05,,,jw06138-c1010_t005_miri_ch4-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f2550w/jw06023-o001_t001_miri_f2550w_i2d.fits,jw06023-o001_t001_miri_f2550w_i2d,2025-06-19T14:08:41.490,JWST,MIRI,F2550W,7.537537770498019e-06,-2.987463520716626e-05,-2.987463520716626e-05,-7.537537770498019e-06,,,jw06023-o001_t001_miri_f2550w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o007_t007_miri_f1000w/jw02107-o007_t007_miri_f1000w_i2d.fits,jw02107-o007_t007_miri_f1000w_i2d,2025-05-29T19:36:21.729,JWST,MIRI,F1000W,-3.079989749386644e-05,-7.746495012947547e-07,-7.746495012947547e-07,3.079989749386644e-05,,,jw02107-o007_t007_miri_f1000w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch2-medium/jw06138-c1010_t005_miri_ch2-medium_s3d.fits,jw06138-c1010_t005_miri_ch2-medium_s3d,2025-06-14T02:48:13.407,JWST,MIRI,,-4.72222227189275e-05,0.0,0.0,4.72222227189275e-05,,,jw06138-c1010_t005_miri_ch2-medium_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o007_t007_miri_f2100w/jw02107-o007_t007_miri_f2100w_i2d.fits,jw02107-o007_t007_miri_f2100w_i2d,2025-05-29T19:36:17.344,JWST,MIRI,F2100W,-3.079989773343677e-05,-7.746317630135827e-07,-7.746317630135827e-07,3.079989773343677e-05,,,jw02107-o007_t007_miri_f2100w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch3-long/jw06138-c1010_t005_miri_ch3-long_s3d.fits,jw06138-c1010_t005_miri_ch3-long_s3d,2025-06-14T02:48:15.118,JWST,MIRI,,-5.55555563833978e-05,0.0,0.0,5.55555563833978e-05,,,jw06138-c1010_t005_miri_ch3-long_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-c1007_t007_miri_f1000w/jw02107-c1007_t007_miri_f1000w_i2d.fits,jw02107-c1007_t007_miri_f1000w_i2d,2025-03-25T22:57:06.079,JWST,MIRI,F1000W,-3.079989749727625e-05,-7.746495013805426e-07,-7.746495013805426e-07,3.079989749727625e-05,,,jw02107-c1007_t007_miri_f1000w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o007_t007_miri_f770w/jw02107-o007_t007_miri_f770w_i2d.fits,jw02107-o007_t007_miri_f770w_i2d,2025-05-29T19:36:21.089,JWST,MIRI,F770W,-3.079989712757189e-05,-7.746681356511932e-07,-7.746681356511932e-07,3.079989712757189e-05,,,jw02107-o007_t007_miri_f770w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch3-short/jw06138-o005_t005_miri_ch3-short_s3d.fits,jw06138-o005_t005_miri_ch3-short_s3d,2025-03-21T21:16:08.063,JWST,MIRI,,-5.55555563833978e-05,0.0,0.0,5.55555563833978e-05,,,jw06138-o005_t005_miri_ch3-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-c1007_t007_miri_f770w/jw02107-c1007_t007_miri_f770w_i2d.fits,jw02107-c1007_t007_miri_f770w_i2d,2025-03-25T22:58:58.267,JWST,MIRI,F770W,-3.079989712338501e-05,-7.746681355459135e-07,-7.746681355459135e-07,3.079989712338501e-05,,,jw02107-c1007_t007_miri_f770w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
